"name","nok","usd","sector","ownership","country","id","type","voting"
"Benchmark Electronics Inc","87624587","9936676","Technology","1.04","United States","7515","equities","1.04"
"Big Technologies plc","42175490","4782723","Technology","0.38","United Kingdom","6920","equities","0.38"
"BigCommerce Holdings Inc","63330088","7181666","Technology","0.28","United States","7525","equities","0.28"
"Black Knight Inc","1029241087","116716497","Technology","0.91","United States","7535","equities","0.91"
"BlackBerry Ltd","269516194","30563282","Technology","0.57","Canada","632","equities","0.57"
"Blackbaud Inc","292538014","33173969","Technology","0.87","United States","7536","equities","0.87"
"Blackline Inc","417488815","47343458","Technology","0.78","United States","7537","equities","0.78"
"Blend Labs Inc","5209239","590731","Technology","0.04","United States","7541","equities","0.01"
"Blue Prism Group plc","182522072","20698102","Technology","1.25","United Kingdom","6922","equities","1.25"
"Bottomline Technologies DE Inc","189182559","21453405","Technology","0.84","United States","7557","equities","0.84"
"Box Inc","417287155","47320590","Technology","1.22","United States","7558","equities","1.22"
"Braze Inc","19862821","2252455","Technology","0.03","United States","7562","equities","0"
"Brightcove Inc","13743761","1558550","Technology","0.37","United States","7565","equities","0.37"
"Broadcom Inc","20654843790","2342270482","Technology","0.85","United States","7573","equities","0.85"
"Bumble Inc","52712662","5977644","Technology","0.09","United States","7586","equities","0.14"
"Byggfakta Group Nordic Holdco AB","142445078","16153349","Technology","1.03","Sweden","5907","equities","1.03"
"Bytes Technology Group PLC","185221623","21004232","Technology","1.14","United Kingdom","6935","equities","1.14"
"C3.ai Inc","119154523","13512187","Technology","0.41","United States","7590","equities","0.16"
"CACI International Inc","537076131","60904724","Technology","0.97","United States","7593","equities","0.97"
"CANCOM SE","486600222","55180729","Technology","2.13","Germany","1875","equities","2.13"
"CDK Global Inc","453777517","51458616","Technology","1.04","United States","7638","equities","1.04"
"CDW Corp/DE","2270849462","257515560","Technology","0.93","United States","7639","equities","0.93"
"CGI Inc","1744384029","197814094","Technology","0.92","Canada","657","equities","0.46"
"CMC Materials Inc","489985358","55564605","Technology","1.02","United States","7704","equities","1.02"
"CSG Systems International Inc","228919507","25959596","Technology","1.38","United States","7780","equities","1.38"
"CTS Corp","104487005","11848883","Technology","1","United States","7782","equities","1"
"Cadence Design Systems Inc","3906301299","442976685","Technology","0.86","United States","7596","equities","0.86"
"Capgemini SE","7684128084","871384290","Technology","2.06","France","1694","equities","2.06"
"Cargurus Inc","315752312","35806483","Technology","0.9","United States","7619","equities","0.41"
